year,month,TF,ZW,STE
1265,12,2.690689821502669,-0.07912310495930874,-0.3161276160265085
1266,1,2.8936832272535087,-0.09422154597035419,-0.4844732722748299
1266,2,3.253631497309846,-0.10715590711559109,-0.5354544877516789
1266,3,3.86196307292501,-0.051513231564296616,-0.3606745108821382
1266,4,5.032138042633329,-0.016278026410042893,-0.1357970411365902
1266,5,4.286911764242257,0.008903942083949047,-0.0658743010546451
1266,6,3.1924341321333563,0.07106502133073939,0.234705541592681
1266,7,1.8686115361636872,0.039265886977120724,0.5019786661301692
1266,8,0.320599255811873,0.03857410697873659,0.5036457093880289
1266,9,-0.3408575914396565,-0.04234576461935609,0.342458565861056
1266,10,-0.6321495679447846,0.08648006033977046,0.1141744964120228
1266,11,0.72468070051691,0.007340179887043054,0.1580106885316982
1266,12,-0.5539970550069304,-0.06579876119553345,0.211814171268806
1267,1,-3.106454219360077,-0.038975205201282975,-0.0461297337838601
1267,2,-4.8032601426844845,-0.04649704632643103,-0.2765772711120913
1267,3,-5.159959085285478,-0.051122042561942686,-0.1548208136316709
1267,4,-6.706732213814789,-0.08340487400004298,-0.3445840880577664
1267,5,-6.284538000072784,-0.12575086714775444,-0.4115727193762264
1267,6,-5.216876759642836,-0.11842879442526806,-0.9787279644753212
1267,7,-3.146399953304816,-0.059758140906597854,-1.4373727341116405
1267,8,0.1286278381697035,-0.13543790636025868,-1.4350114077259777
1267,9,1.1721648361131198,-0.08875904318187719,-1.7645074096224085
1267,10,2.201698411623409,-0.15047446282964783,-1.861380524438123
1267,11,2.414167551440426,-0.11262195366947575,-1.966952295978936
1267,12,5.299680766524319,-0.154972324101544,-1.9397868142138013
1268,1,8.07192116668803,-0.24001171869516666,-1.7412790470613484
1268,2,9.891837002363037,-0.137384046175658,-1.4959438930073528
1268,3,11.371428751695449,-0.06371949522623309,-1.2224667944118992
1268,4,13.246796858602645,-0.09362317204736352,-0.9671567020940364
1268,5,13.008397116507838,-0.042640704394181037,-0.7257893985675894
1268,6,11.140229554868048,-0.04507535596530791,-0.3966280997357779
1268,7,8.50524142318285,-0.07038109996074457,-0.1498992322396993
1268,8,6.688291853313545,-0.056033715857753345,-0.1345750096893538
1268,9,5.630429125859027,-0.1155871368687645,-0.1710354654337248
1268,10,5.050659046654702,-0.041850230266140695,-0.3051607819551852
1268,11,5.011484662730762,0.02729938253759759,-0.5620888197354366
1268,12,7.41309345032985,0.0002452565325606838,-0.542306231362083
1269,1,9.37203984643827,-0.06455646772019806,-0.4188872286043789
1269,2,10.823074472483611,0.03013578949176941,-0.1765311379299134
1269,3,10.985056779527822,0.04838406492333399,0.2048345564560409
1269,4,10.934861316532077,0.05638409424555328,0.4407181901146641
1269,5,10.339609837432093,0.06551356374491939,0.659259969700779
1269,6,8.721258334895527,0.14339080536629925,0.7146006679305744
1269,7,7.248146864837377,0.12612540226554375,1.218675940024934
1269,8,5.838055035238427,0.18961710062753626,1.7870545683906922
1269,9,4.790835718460906,0.11754005176886154,2.057406827459988
1269,10,4.47147132349077,0.13840713835621327,2.1560329391425497
1269,11,2.906151092169461,0.12347161704349278,2.277173800687872
1269,12,0.9670880818539398,0.2863456859479885,2.4807672884504712
1270,1,-0.5751087167234683,0.2608763895822917,2.801332481668061
1270,2,-5.423473348393352,0.3385386294042291,2.541909173084292
1270,3,-9.774079033837102,0.09430013979481283,1.9390144110601235
1270,4,-13.787846004487076,0.08658779706785029,1.604154967251327
1270,5,-16.50892775590194,0.046178035685101974,0.9014143904097052
1270,6,-15.009780151761491,-0.03453178696232817,0.1526231154071703
1270,7,-14.170435232206312,-0.08337416875461943,-0.6476008529017037
1270,8,-12.154718597027358,-0.0197410414408568,-0.965520013016644
1270,9,-9.252574158267972,-0.054554073902662065,-1.1455858134648351
1270,10,-6.845633088579631,-0.009514932681815778,-1.1819680556650582
1270,11,-5.520292323675247,-0.05361674576432581,-1.2325563904227057
1270,12,-3.392773730387174,-0.14044936993771942,-1.284223427411478
1271,1,-2.5559319985299784,-0.10831804231636848,-1.2303916380779976
1271,2,-2.4246966754680264,-0.1926726068877638,-1.2578157177577791
1271,3,-1.0581149767331104,-0.0907793632058624,-1.3451170475336909
1271,4,0.5413042312639109,-0.15143179381769153,-1.2097891362679198
1271,5,1.7813955015975451,-0.08741881495295484,-0.9745308983754984
1271,6,3.492114376967124,-0.11388643784748823,-1.0112224937598129
1271,7,4.603002164745499,-0.1260624958277859,-1.043642878012166
1271,8,3.3227870120124905,-0.20522217600631387,-1.032671143469277
1271,9,1.9260835240919008,-0.212306230000124,-1.2668968180131088
1271,10,1.1963965808157575,-0.06284863212244982,-1.7491581902694435
1271,11,2.809011226779074,-0.13686309500433194,-1.9280522202213823
1271,12,5.2718844698273735,-0.10095026340159312,-1.8289298296230343
1272,1,9.075125431408864,-0.1925757500121495,-1.667384678712552
1272,2,10.607242613174227,-0.16696174621912094,-1.4390481919835705
1272,3,12.31115956519768,-0.0816731276681415,-1.1320305807834052
1272,4,13.754963673104298,-0.06302394889125036,-0.9315367478490936
1272,5,15.870582167682745,-0.010671235446280349,-0.7151554148507533
1272,6,16.011589151968387,-0.0027251870761753447,-0.3104620798094675
1272,7,12.926306716895487,-0.12289395868775099,0.1062949565347143
1272,8,9.26548530716268,0.013213423172271262,0.1681989909944729
1272,9,8.554378967355344,-0.1034871644870488,0.4080263190781076
1272,10,6.495880638079629,-0.018848162053057275,0.2623119097442291
1272,11,6.411403565875676,-0.00802494985875794,0.2129600953461461
1272,12,7.902977157956725,0.09253769705291107,0.4224930037789146
1273,1,8.987727466464815,-0.015527780803221305,0.5109965381283536
1273,2,8.964452527688787,0.06273699875806167,0.645900425205256
1273,3,10.5364118651058,0.08271776662369704,0.9779191568817922
1273,4,10.302696539065266,0.18262499204323582,1.178271622549222
1273,5,8.744670925073887,0.20015934565600604,1.1982179516442668
1273,6,8.18264317115162,0.13840693022960188,1.30518551267688
1273,7,4.972812315425606,0.20277935062890032,1.8651700289166864
1273,8,3.857772862066099,0.3023737935795542,2.6150901989329545
1273,9,3.9804554295008336,0.21448951462721347,3.0492179923168967
1273,10,2.995546491395902,0.31230800163647954,3.3475131359778847
1273,11,0.4570636682901342,0.23691026504611812,3.648001144493585
1273,12,-5.075530307620463,0.42704957592062076,3.518719410338979
1274,1,-11.701033211468197,0.37351880435986873,3.412116211744147
1274,2,-16.26026854382141,0.33429351700247967,2.619359765841768
1274,3,-18.014944566042075,0.20647719846868928,2.149064238152613
1274,4,-20.876828651776965,0.12940601589475634,1.3790509892851526
1274,5,-21.801993349830063,0.11626102198990601,1.0137504518860516
1274,6,-23.52498262015822,0.02975961954237396,0.840788313369918
1274,7,-23.031315518369777,-0.0013869747138921767,-0.071097854381209
1274,8,-21.57501430293736,0.007902202245871936,-1.2630139667975138
1274,9,-18.991148304437168,0.03357606849739915,-1.5471358862371352
1274,10,-17.051221055156432,-0.02486432854144268,-1.4753463493076575
1274,11,-15.953799213133848,-0.08126098228758312,-1.5877702312139523
1274,12,-12.803426718390218,-0.07749304550318856,-2.014299425083557
1275,1,-6.317357788347809,-0.12286637662370255,-1.9866541846921133
1275,2,-4.127891103311775,-0.17137586707119468,-1.7902214255801416
1275,3,-2.7142597256306,-0.0657249955044333,-1.603531433391314
1275,4,0.441163099574056,-0.09721101243532518,-1.5911383245429902
1275,5,2.585201686758396,-0.07869503149400543,-1.392218504373829
1275,6,3.1684196025091853,-0.05667284333089893,-1.1512684442456662
1275,7,3.8008628242655744,-0.06907422497258137,-1.0947945954987202
1275,8,3.41157487666101,-0.09261929160403228,-1.149461959006266
1275,9,2.738872005833587,-0.017714349457707248,-1.060440768739452
1275,10,2.916673265078534,-0.09836502129280705,-1.008981650894695
1275,11,2.1294408057370022,-0.03175939231097851,-1.0176222338944487
1275,12,3.684960229687871,-0.012245856748887493,-0.9936146217045764
1276,1,6.532038915307041,-0.04718906678725028,-0.7838550240812852
1276,2,6.964828300595955,-0.06921035365027442,-0.5474028116791421
1276,3,4.027362804329716,-0.1033205644728294,-0.3288827911125604
1276,4,2.685576972706338,0.05501131671779276,0.007612700971053
1276,5,1.590500097029233,-0.023996137983923086,-0.0746161241536489
1276,6,-0.8989005241746788,0.011838032019640099,-0.0270274677776785
1276,7,-1.552462116857363,0.01228332743172805,0.1000984794790536
1276,8,-2.7327567329471427,-0.07281794830237771,-0.0050148707877877
1276,9,-3.325146848641353,0.011721281778302615,-0.1410328150656197
1276,10,-3.553920637467171,-0.06684962673606866,-0.2426775656409975
1276,11,-3.080002674658453,0.03139060847815507,-0.5053552840390904
1276,12,-1.809599022475854,-0.057853957013911134,-0.7944073518084072
1277,1,-0.2451058094032794,-0.040443773421698234,-0.9813151855902096
1277,2,1.3770569490036102,-0.11802931699096494,-0.9986382420082546
1277,3,3.593386750840812,-0.06721765321338953,-0.8395856632046028
1277,4,4.813195509096039,-0.048258180676025414,-0.7229949030982208
1277,5,6.410551980619233,-0.02463736229923919,-0.4345102174520301
1277,6,7.130069728616034,-0.032578548033741626,-0.3748145716694107
1277,7,8.326163762019698,0.09251096595597115,-0.2626317125210002
1277,8,10.742493643559415,0.12634447582103198,0.2490003863012801
1277,9,9.5572050630543,0.04491245120141032,0.5044874042417324
1277,10,7.566718428636036,-0.08379703853635508,0.370906948215301
1277,11,6.7807835057115815,0.05599708950196874,0.2349881642620499
1277,12,7.046674870481907,0.017495539765242228,0.2930679837241363
